name,image,description,href,related_links,Group,Size,Popularity,Temperament,Exercise Needs,Approx. Life Span,Grooming,Coat Length,Hypo Allergenic,AKC Recognized In,Owned by President
Affenpinscher,sample_images\{556274aa-0333-4a65-9b46-7676e2d0bbda}.jpg,The Affenpinscher is a  Tiny dog.,http://www.akc.org/breeds/affenpinscher/,,Toy,Tiny,Uncommon,"Active
Friendly
Strong-willed",Medium,14,Moderate,Medium,Yes,1936,
Airedale Terrier,sample_images\{0fca7925-abe8-43c4-aac4-c5e93e1158cf}.jpg,The Airedale Terrier is a  Small dog.,http://www.akc.org/breeds/airedale_terrier/,,Terrier,Small,Popular,"Friendly
Intelligent
Protective",Medium,12,Regular,Medium,Yes,1888,"""Laddie Boy"" - President Harding"
American Staffordshire Terrier,sample_images\{35912562-a931-44dc-9ee0-df4356f234cc}.jpg,The American Staffordshire Terrier is a  Large dog.,http://www.akc.org/breeds/american_staffordshire_terrier/,,Terrier,Large,Popular,"Alert
Loyal
Protective",High,12,Very little,Short,No,1936,
Australian Shepherd,sample_images\{1f67fb1b-8f13-44c0-abf2-a29d1552ab37}.jpg,The Australian Shepherd is a  Medium dog.,http://www.akc.org/breeds/australian_shepherd/,,Herding,Medium,Very Popular,"Active
Friendly
Gentle
Intelligent
Protective",High,15,Regular,Long,No,1991,
Basset Hound,sample_images\{5d373304-b47d-417c-b744-c5892284f012}.jpg,The Basset Hound is a  Medium dog.,http://www.akc.org/breeds/basset_hound/,,Hound,Medium,Very Popular,"Friendly
Gentle
Loyal
Strong-willed",Low,12,Very little,Short,No,1885,
Beagle,sample_images\{4e8eab10-100b-45c9-aad9-76a68bee3c0d}.jpg,The Beagle is a  Small dog.,http://www.akc.org/breeds/beagle/,,Hound,Small,Most Popular,"Active
Friendly
Gentle
Intelligent
Strong-willed",Medium,15,Very little,Short,No,1885,"""Him"", ""Her"" - President Johnson"
Bearded Collie,sample_images\{1da0f46b-aa1b-4e7e-b93b-3e177b4fc3fb}.jpg,The Bearded Collie is a  Medium dog.,http://www.akc.org/breeds/bearded_collie/,,Herding,Medium,Common,"Active
Intelligent
Protective",Low,15,Frequent,Long,No,1976,
Bedlington Terrier,sample_images\{2198d22a-647e-4721-8ef4-b5b4bdf59a21}.jpg,The Bedlington Terrier is a  Tiny dog.,http://www.akc.org/breeds/bedlington_terrier/,,Terrier,Tiny,Uncommon,"Active
Friendly
Gentle",High,14,Regular,Medium,Yes,1886,
Belgian Malinois,sample_images\{49fe841d-fd8c-45ac-a1ef-b5c9b27fc0c9}.jpg,The Belgian Malinois is a  Medium dog.,http://www.akc.org/breeds/belgian_malinois/,,Herding,Medium,Popular,"Active
Gentle
Intelligent
Loyal
Protective",High,14,Very little,Long,No,1959,
Bernese Mountain Dog,sample_images\{48ddafe2-a298-428e-bc4e-51afd97a4bf9}.jpg,The Bernese Mountain Dog is a  Large dog.,http://www.akc.org/breeds/bernese_mountain_dog/,,Working,Large,Very Popular,Loyal,High,8,Occasional,Medium,No,1937,
Bichon Frise,sample_images\{46b73e6c-0755-4ce0-a308-85d1f6458ac4}.jpg,The Bichon Frise is a  Tiny dog.,http://www.akc.org/breeds/bichon_frise/,,Non-sporting,Tiny,Very Popular,"Active
Alert
Friendly
Gentle",Low,15,Regular,Long,Yes,1972,
Border Collie,sample_images\{58229570-7a8f-476c-8688-770f50dffcb0}.jpg,The Border Collie is a  Medium dog.,http://www.akc.org/breeds/border_collie/,,Herding,Medium,Very Popular,"Active
Alert
Strong-willed
Intelligent",High,17,Occasional,Medium,No,1995,
Borzoi,sample_images\{0eb01ea6-5410-494b-a401-f761de24f4b7}.jpg,The Borzoi is a  Large dog.,http://www.akc.org/breeds/borzoi/,,Hound,Large,Common,"Active
Gentle
Independent
Intelligent
Obedient
Reserved",Medium,10,Moderate,Medium,No,1891,
Boston Terrier,sample_images\{21c976e2-66e8-47d7-95c8-cf3082dcbf2d}.jpg,The Boston Terrier is a  Tiny dog.,http://www.akc.org/breeds/boston_terrier/,,Non-sporting,Tiny,Most Popular,"Active
Friendly
Intelligent",Low,15,Very little,Short,No,1893,
Brittany Spaniel,sample_images\{1fdecca8-027f-4287-b607-20b51cec2d1a}.jpg,The Brittany Spaniel is a  Small dog.,http://www.akc.org/breeds/brittany/,,Sporting,Small,Very Popular,"Active
Friendly
Intelligent
Obedient",Medium,15,Very little,Short,No,1934,
Bulldog,sample_images\{49f9ca6f-1e4f-4e25-ba52-6d3d95d4ffa0}.jpg,The Bulldog is a  Medium dog.,http://www.akc.org/breeds/bulldog/,,Non-sporting,Medium,Most Popular,"Friendly
Gentle
Strong-willed",Low,10,Regular,Short,No,1886,
Cairn Terrier,sample_images\{344395ca-eae7-4286-a43c-fc1cfde76c64}.jpg,The Cairn Terrier is a  Tiny dog.,http://www.akc.org/breeds/cairn_terrier/,,Terrier,Tiny,Very Popular,"Friendly
Strong-willed",Medium,15,Occasional,Long,Yes,1913,
Cardigan Welsh Corgi,sample_images\{5f372f9e-6672-4eae-a574-48ce16e2f81c}.jpg,The Cardigan Welsh Corgi is a  Small dog.,http://www.akc.org/breeds/cardigan_welsh_corgi/,,Herding,Small,Popular,Friendly,High,15,Occasional,Medium,No,1935,
Cavalier King Charles Spaniel,sample_images\{1fa04d79-738b-43c2-8ada-88c529b1905b}.jpg,The Cavalier King Charles Spaniel is a  Tiny dog.,http://www.akc.org/breeds/cavalier_king_charles_spaniel/,,Toy,Tiny,Most Popular,Obedient,Minimal,14,Moderate,Long,No,1995,"""Rex"" - President Reagan"
Chesapeake Bay Retriever,sample_images\{26fefc48-df0d-41f5-88ca-93c5b9968f3b}.jpg,The Chesapeake Bay Retriever is a  Medium dog.,http://www.akc.org/breeds/chesapeake_bay_retriever/,,Sporting,Medium,Very Popular,"Friendly
Protective",High,12,Occasional,Short,No,1878,
Chihuahua,sample_images\{2271d88b-0f84-4a2a-97df-758839575a27}.jpg,The Chihuahua is a  Tiny dog.,http://www.akc.org/breeds/chihuahua/,,Toy,Tiny,Most Popular,"Active
Alert
Loyal
Protective",Low,18,Occasional,Short,No,1904,
Chinese Crested Dog,sample_images\{60444e31-e9c1-49cc-95fc-3e40907761db}.jpg,The Chinese Crested Dog is a  Tiny dog.,http://www.akc.org/breeds/chinese_crested_dog/,,Toy,Tiny,Very Popular,"Active
Friendly
Gentle",Low,15,Moderate,Short,Yes,1991,
Clumber Spaniel,sample_images\{19e5fb63-c80d-4f04-a92e-1866e34b7d14}.jpg,The Clumber Spaniel is a  Medium dog.,http://www.akc.org/breeds/clumber_spaniel/,,Sporting,Medium,Uncommon,"Friendly
Intelligent",Medium,12,Regular,Short,No,1878,
Dandie Dinmont Terrier,sample_images\{582c8edc-513d-4e66-a098-66904f9c285e}.jpg,The Dandie Dinmont Terrier is a  Tiny dog.,http://www.akc.org/breeds/dandie_dinmont_terrier/,,Terrier,Tiny,Rare,"Friendly
Strong-willed",Medium,15,Occasional,Medium,Yes,1886,
English Cocker Spaniel,sample_images\{3d8e3430-e8da-42a2-a070-cad58c3e4a40}.jpg,The English Cocker Spaniel is a  Small dog.,http://www.akc.org/breeds/english_cocker_spaniel/,,Sporting,Small,Popular,"Friendly
Loyal
Obedient
Reserved",Medium,12,Regular,Medium,No,1946,
English Springer Spaniel,sample_images\{41cb908b-20ee-488d-97ba-66f05810b6f2}.jpg,The English Springer Spaniel is a  Medium dog.,http://www.akc.org/breeds/english_springer_spaniel/,,Sporting,Medium,Very Popular,Alert,High,14,Moderate,Medium,No,1910,"""Millie"" - President George H.W. Bush"
French Bulldog,sample_images\{0dfdcf4e-de95-49db-83e0-cb2831d0f2ef}.jpg,The French Bulldog is a  Small dog.,http://www.akc.org/breeds/french_bulldog/,,Non-sporting,Small,Most Popular,"Active
Intelligent",Low,12,Occasional,Short,No,1898,
Glen of Imaal Terrier,sample_images\{5d692623-51df-4c04-af20-6756fb97d8d3}.jpg,The Glen of Imaal Terrier is a  Medium dog.,http://www.akc.org/breeds/glen_of_imaal_terrier/,,Terrier,Medium,Rare,"Loyal
Reserved",Medium,15,Moderate,Medium,No,2004,
Great Dane,sample_images\{29d85ab2-3f7d-4a8b-8407-089ac76cf5aa}.jpg,The Great Dane is a  Large dog.,http://www.akc.org/breeds/great_dane/,,Working,Large,Most Popular,Friendly,High,12,Very little,Short,No,1887,
Great Pyrenees,sample_images\{08780518-5704-4ef8-a074-402f1308fd90}.jpg,The Great Pyrenees is a  Large dog.,http://www.akc.org/breeds/great_pyrenees/,,Working,Large,Popular,"Friendly
Gentle
Intelligent
Reserved
Strong-willed",Medium,12,Regular,Long,No,1933,
Greater Swiss Mountain Dog,sample_images\{4293b10d-c8d2-4941-a28c-e61d00146192}.jpg,The Greater Swiss Mountain Dog is a  Extra large dog.,http://www.akc.org/breeds/greater_swiss_mountain_dog/,,Working,Extra large,Common,Intelligent,Medium,11,Very little,Medium,No,1995,
Greyhound,sample_images\{3ee4882d-e6b6-4895-ae3f-e92027fbf2c4}.jpg,The Greyhound is a  Large dog.,http://www.akc.org/breeds/greyhound/,,Hound,Large,Popular,"Active
Friendly
Gentle
Reserved",Medium,12,Very little,Short,No,1885,
Ibizan Hound,sample_images\{399e8d70-8c44-4775-9347-46c483f5ff45}.jpg,The Ibizan Hound is a  Medium dog.,http://www.akc.org/breeds/ibizan_hound/,,Hound,Medium,Uncommon,"Alert
Friendly",High,12,Very little,Short,No,1978,
Irish Red and White Setter,sample_images\{0cd09aea-0a12-411c-86aa-2bc883ec9ddb}.jpg,The Irish Red and White Setter is a  Medium dog.,http://www.akc.org/breeds/irish_red_white_setter/,,Sporting,Medium,Popular,Loyal,High,13,Moderate,Long,No,2009,
Manchester Terrier,sample_images\{15cf9b37-10ba-47b4-957f-9e97eb09baba}.jpg,The Manchester Terrier is a  Tiny dog.,http://www.akc.org/breeds/manchester_terrier/,,"Terrier
Toy",Tiny,Common,"Friendly
Reserved",High,16,Frequent,Short,No,1887,
Miniature Bull Terrier,sample_images\{4e3f1d79-d3c3-40ad-8391-c848db74d7a5}.jpg,The Miniature Bull Terrier is a  Small dog.,http://www.akc.org/breeds/miniature_bull_terrier/,,Terrier,Small,Uncommon,"Alert
Gentle
Strong-willed",High,14,Very little,Short,Yes,1991,
Miniature Schnauzer,sample_images\{508b5120-ef39-47c6-a7dd-736c19d7bc79}.jpg,The Miniature Schnauzer is a  Tiny dog.,http://www.akc.org/breeds/miniature_schnauzer/,,Terrier,Tiny,Most Popular,Active,Medium,15,Occasional,Medium,Yes,1926,
Neapolitan Mastiff,sample_images\{4cbc418c-9ec4-4c49-ac8b-1921941b57f6}.jpg,The Neapolitan Mastiff is a  Extra large dog.,http://www.akc.org/breeds/neapolitan_mastiff/,,Working,Extra large,Uncommon,Protective,Medium,10,Moderate,Short,No,2004,
Newfoundland,sample_images\{2b84273a-8727-4fc1-b672-532db095eb46}.jpg,The Newfoundland is a  Extra large dog.,http://www.akc.org/breeds/newfoundland/,,Working,Extra large,Very Popular,"Friendly
Obedient",High,10,Regular,Long,No,1886,
Parson Russell Terrier,sample_images\{3fb87dc7-8342-41f0-9fd5-fdc83cf0fb81}.jpg,The Parson Russell Terrier is a  Tiny dog.,http://www.akc.org/breeds/parson_russell_terrier/,,Terrier,Tiny,Common,"Active
Friendly
Intelligent
Obedient",Low,15,Very little,Short,No,1997,
Pekingese,sample_images\{3b7521a9-b05f-430d-8d39-2367034ac4b2}.jpg,The Pekingese is a  Tiny dog.,http://www.akc.org/breeds/pekingese/,,Toy,Tiny,Very Popular,"Friendly
Strong-willed",Minimal,15,Frequent,Long,No,1906,
